HTML
"<ul><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ- 11</span></strong></li><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ-06<br/></span></strong></li></ul>"
"<p>ঘূর্ণিঝড় এর জন্য দায়ী হলো-</p><ol style=""list-style-type: lower-roman;""><li>বায়ু চাপ</li><li>বায়ুর ঘনত্ব </li><li>তাপমাত্রা</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
*,"<p>i, ii ও iii </p>"
<p>CO<sub>2</sub> গ্যাসের দুটি প্রধান গ্রাহক কী ?</p>,1,one,
*,<p>উদ্ভিদ ও বায়ুমণ্ডল</p>
,<p>সমুদ্র ও উদ্ভিদ</p>
,<p>বনভূমি ও পানি</p>
,<p>উদ্ভিদ ও জীবাশ্ম জ্বালানি</p>
<p>মেসোস্ফিয়ারের উচ্চতা কত কি.মি. পর্যন্ত বিস্তৃত  ?</p>,1,one,
,<p>5-10</p>
,<p>10-40</p>
*,<p>50-85</p>
,<p>150-200</p>
<p>বায়ুমণ্ডলের শীতলতম অঞ্চল কোনটি ?</p>,1,one,
*,<p>মেসোস্ফিয়ার</p>
,<p>আয়োনোস্ফিয়ার</p>
,<p>ট্রপোস্ফিয়ার </p>
,<p>স্ট্রাটোস্ফিয়ার</p>
<p> বায়ুমণ্ডলের শীতলতম স্তর কোনটি ?</p>,1,one,
,<p>ট্রপোস্ফিয়ার </p>
*,<p>মেসোস্ফিয়ার</p>
,<p>স্ট্রাটোস্ফিয়ার</p>
,<p>থার্মোস্ফিয়ার</p>
<p>বায়ুমন্ডলে স্ট্রাটোস্ফিয়ার স্তরের প্রধান উপাদান কোনটি ?</p>,1,"one, shuffle",
,<p>অক্সিজেন</p>
,<p>নিয়ন</p>
*,<p>ওযোন</p>
,<p>কার্বন-ডাই-অক্সাইড</p>
"<p><br/></p><p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-10-31/18a5ddaf-6cf4-459d-aed2-61085dbed985-image.png"" style=""width: 427px;""/></p><p>স্টপকর্ক বন্ধ অবস্থায়ঃ A গ্যাস= 102g, B গ্যাস= 28g</p><p>আণবিক ভরঃ A গ্যাস= 17, B গ্যাস= 2</p><p>স্টপকর্ক খোলা অবস্থায়ঃ মোট চাপ = 200mm(Hg)</p><p>উদ্দীপকের A ও B গ্যাসের মোল সংখ্যা কত ?</p>",1,one,
,<p>4 &amp; 12</p>
*,<p>6 &amp; 14</p>
,<p>6 &amp; 12</p>
,<p>8 &amp; 14</p>
"<p><br/></p><p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-10-31/45a970d1-797e-478f-ba1b-15932899d7fe-image.png"" style=""width: 360px;""/></p><p>স্টপকর্ক বন্ধ অবস্থায়ঃ A গ্যাস= 102g, B গ্যাস= 28g</p><p>আণবিক ভরঃ A গ্যাস= 17, B গ্যাস= 2</p><p>স্টপকর্ক খোলা অবস্থায়ঃ মোট চাপ = 200mm(Hg)</p><p>স্টপকর্ক খোলা অবস্থায় A গ্যাসের আংশিক চাপ কত mm(Hg) ?</p>",1,one,
*,<p>60</p>
,<p>80</p>
,<p>120</p>
,<p>140</p>
<p>কোন শর্তে বাস্তব গ্যাস আদর্শ গ্যাসের মত আচরণ করে ?</p>,1,one,
*,<p>উচ্চ তাপমাত্রা ও নিম্নচাপ</p>
,<p>উচ্চ তাপমাত্রা ও উচ্চচাপ</p>
,<p>নিম্ন তাপমাত্রা ও উচ্চচাপ</p>
,<p>নিম্ন তাপমাত্রা ও নিম্নচাপ</p>
<p>গ্যাসের ব্যাপন হারের সঙ্গে সম্পর্ক কোনটির ?</p>,1,one,
,<p>তুল্য ভরের</p>
,<p>পারমাণবিক ভরের</p>
*,<p>আণবিক ভরের</p>
,<p>গ্রাম পারমাণবিক ভরের</p>
<p>গ্যাসের ভ্যান্ডার ওয়াল সমীকরণে ‘a’ কিসের পরিমাপক ?</p>,1,one,
,<p>গ্যাসের গতিশক্তি</p>
*,<p>আন্তঃআণবিক আকর্ষণ</p>
,<p>গ্যাসের আয়তন</p>
,<p>আন্তঃআণবিক বিকর্ষণ</p>
<p>4.0g হাইড্রোজেনের জন্য বাস্তব গ্যাসের কোন সমীকরণটি প্রযোজ্য ?</p>,1,one,
,"<p class=""mathy"">(P+(4a)/V^2) (V-4b)=4RT</p>"
,"<p class=""mathy"">(P+(16a)/V^2) (V-16b)=4RT</p>"
,"<p class=""mathy"">P=(2RT)/(V-2b)-(4a)/V^2</p>"
*,"<p class=""mathy"">(P+(4a)/V2) (V-2b)=2RT</p>"
<p>কোন গ্যাসটির ব্যাপন হার বেশি ?</p>,1,one,
,<p>HCl</p>
,<p>NH<sub>3</sub></p>
*,<p>CH<sub>4</sub></p>
,<p>Cl<sub>2</sub></p>
<p>কক্ষ তাপমাত্রায় N<sub>2</sub> এর একটি অনুর গতিশক্তি কত আর্গ ?</p>,1,one,
,<p>6.0209×10<sup>-20</sup></p>
,<p>6.580×10<sup>-18</sup></p>
,<p>6.098×10<sup>-16</sup></p>
*,<p>6.17×10<sup>-14</sup></p>
"<p>বিয়ের,চার্লস ও অ্যাভোগাড্রোর সমন্বয় সূত্র থেকে গ্যাসের ঘনত্ব নির্ণয়ের সমীকরণ কোনটি ?</p>",1,one,
,"<p class=""mathy"">d=(RM)/(PT)</p>"
,"<p class=""mathy"">d=(RT)/(PM)</p>"
*,"<p class=""mathy"">d=(PM)/(RT)</p>"
,"<p class=""mathy"">d=(PT)/(RM)</p>"
<p>STP তে 64g O<sub>2</sub> গ্যাসের আয়তন কত ?</p>,1,one,
,<p>22.4 L</p>
*,<p>44.8 L</p>
,<p>67.2 L</p>
,<p>89.6 L</p>
<p>18°C 0.18 atm চাপে কোন গ্যাসের ঘনত্ব 2.25 gL<sup>-1</sup> গ্যাসটির আণবিক ভর কত ?</p>,1,one,
*,<p>67.11</p>
,<p>36.24</p>
,<p>24.36</p>
,<p>36.63</p>
<p>কোন গ্যাস দ্রুত ব্যাপিত হয় ?</p>,1,one,
,<p>F<sub>2</sub></p>
,<p>O<sub>2</sub></p>
*,<p>Ne</p>
,<p>Cl<sub>2</sub></p>
<p>16g অক্সিজেনে কয়টি অক্সিজেন অণু আছে ?</p>,1,one,
,<p>0.5</p>
,<p>1.0</p>
*,<p>3.011×10<sup>23</sup></p>
,<p>6.023×10<sup>23</sup></p>
<p>স্থির উষ্ণতায় গ্যাসের চাপ বাড়ালে ঘনত্বের মানে কি ঘটে ?</p>,1,one,
*,<p>বাড়ে</p>
,<p>কমে</p>
,<p>শূন্য হয়</p>
,<p>অপরিবর্তিত থাকে</p>
"<p>ডাল্টনের আংশিক চাপ সূত্র কার্যকর হয়</p><ol style=""list-style-type: lower-roman;""><li>উচ্চচাপে</li><li>নিম্নচাপে</li><li>স্থির তাপমাত্রায়</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>ii</p>
,<p>i ও iii</p>
*,<p>iii</p>
,"<p>i, ii ও iii </p>"
"<p><span class=""mathy"">(P+(an^2)/V^2) (V-nb)=nRT</span>  সমীকরণে বাস্তব গ্যাসের আন্তঃআণবিক আকর্ষণ বল-</p><ol style=""list-style-type: lower-roman;""><li> <span class=""mathy"">(an^2)/(V^2)</span></li><li> <span class=""mathy"">(an)/(V^2)</span></li><li> <span class=""mathy"">a/ V^2</span> </li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
*,<p>i</p>
,<p>i ও ii</p>
<p>SI এককে  বোল্টজম্যান ধ্রুবকের মান কত ?</p>,1,one,
,<p>6.023×10<sup>23</sup></p>
,<p>6.023×10<sup>-23</sup></p>
*,<p>1.38×10<sup>-23</sup></p>
,<p>1.36×10<sup>-25</sup></p>
END
POOL,50%
<p>17°C উষ্ণতায় এক মোল N<sub>2</sub> এর গতিশক্তি কত?</p>,1,"one, shuffle",
,<p>3606.59 J</p>
*,<p>3616.59 J</p>
,<p>5936.16 J</p>
,<p>5916.36 J</p>
<p>বায়ুমণ্ডলের তাপমাত্রা বৃদ্ধিতে কোন গ্যাসটির ভূমিকা সবচেয়ে বেশি?</p>,1,"one, shuffle",
*,<p>CO<sub>2</sub></p>
,<p>NO<sub>2</sub></p>
,<p>CH<sub>4</sub></p>
,<p>NH<sub>3</sub></p>
"<p>স্থির চাপে নির্দিষ্ট ভরের কোন গ্যাসের আয়তন তত্তিয়ভাবে শূন্য হয় যে তাপমাত্রায় তা হল-</p><ol style=""list-style-type: lower-roman;""><li>0 K</li><li>-273° C</li><li>0° C</li></ol>",1,"one, shuffle",
,"<p>i,ii</p>"
,"<p>ii,iii</p>"
*,"<p>i,iii</p>"
,"<p>i, ii iii</p>"
<p>আদর্শ গ্যাসের সংকোচনশীলতা গুণাঙ্ক z কত?</p>,1,"one, shuffle",
,<p>3.0</p>
,<p>2.0</p>
*,<p>1.0</p>
,<p>0.513</p>
<p>27°C তাপমাত্রায় কোন গ্যাসটির RMS বেগ বেশি?</p>,1,"one, shuffle",
,<p>N<sub>2</sub></p>
*,<p>H<sub>2</sub></p>
,<p>O<sub>2</sub></p>
,<p>Cl<sub>2</sub></p>
<p>প্রাকৃতিক গ্যাসের প্রধান উপাদান কোনটি?</p>,1,"one, shuffle",
,<p>N<sub>2</sub></p>
,<p>O<sub>2</sub></p>
,<p>H<sub>2</sub></p>
*,<p>CH<sub>4</sub></p>
<p>SATP তে তাপমাত্রা কত?</p>,1,"one, shuffle",
,<p>298° C</p>
*,<p>25° C</p>
,<p>0°C</p>
,<p>273 K </p>
<p>এক অনু CO<sub>2</sub> এর ভর কত?</p>,1,"one, shuffle",
,<p>44g</p>
,<p>22g</p>
*,<p>7.305x10<sup>-23</sup>g</p>
,<p>7.305x10<sup>-24</sup>g</p>
<p>32g O<sub>2</sub> গ্যাসের জন্য আদর্শ সমীকরণ কি?</p>,1,"one, shuffle",
,<p>PV=nRT</p>
*,<p>PV=RT</p>
,<p>PV=2RT</p>
,<p>PV=32RT</p>
<p>28g N<sub>2 </sub>গ্যাসে পরমাণু সংখ্যা কত?</p>,1,"one, shuffle",
,<p>6.023x10<sup>23</sup></p>
,<p>1.2046x10<sup>23</sup></p>
*,<p>1.2046x10<sup>24</sup></p>
,<p>3.0115x10<sup>23</sup></p>
"<p>SI পদ্ধতিতে চাপের একক কি?</p><ol style=""list-style-type: lower-roman;""><li>Pa</li><li>Atmosphere</li><li>Nm<sup>-2</sup></li></ol>",1,"one, shuffle",
,<p>i ii</p>
,<p>i iii</p>
*,<p>ii iii</p>
,<p>i ii iii</p>
<p>2.24L গ্যাসে (NTPতে) কতটি CO<sub>2</sub> অণ থাকে?</p>,1,"one, shuffle",
,<p>6.023x10<sup>23</sup></p>
*,<p>6.023x10<sup>22</sup></p>
,<p>6.023x10<sup>21</sup></p>
,<p>3.0115x10<sup>23</sup></p>
<p>মোল কি? </p>,1,"one, shuffle",
,<p>গ্রাম আণবিক ভর</p>
,<p>গ্রাম পারমানবিক ভর</p>
*,<p>পদার্থের যে পরিমাণে 6.023x10<sup>23</sup> টি কণা উপস্থিত থাকে</p>
,<p>গ্রাম অয়ন</p>
<p>10mm-Hg চাপে CO<sub>2 </sub>গ্যাসের সংকোচনশীলতা গুণাঙ্ক এর মান কত?</p>,1,"one, shuffle",
,<p>2.0</p>
,<p>1.5</p>
*,<p>1.0</p>
,<p>3.0</p>
<p>H<sub>2 </sub>গ্যাস সাধারন অবস্থায় কোন সমীকরণটি অনুসরণ করে?</p>,1,"one, shuffle",
,<p>PV=nRT</p>
*,"<p> <span class=""mathy"">(P+(n^2a)/V^2)(V-nb)=nRT</span> </p>"
,<p>কোনোটিই নয়</p>
,<p>PV=RT</p>
<p>নিম্নের কোন তাপমাত্রায় CO<sub>2</sub> গ্যাস তরল হয় না?</p>,1,"one, shuffle",
,<p>31.1° C</p>
,<p>28.5° C</p>
*,<p>32° C</p>
,<p>30° C</p>
<p>22g CO<sub>2 </sub>গ্যাসের জন্য আদর্শ সমীকরণ কোনটি?</p>,1,"one, shuffle",
*,"<p class=""mathy"">PV=1/2RT</p>"
,<p>PV=RT</p>
,<p>PV=2RT</p>
,<p>PV=22RT</p>
<p>NTP তে 1.0L গ্যাসের ভর 1.43g. গ্যাসটি কি?</p>,1,"one, shuffle",
,<p>H<sub>2</sub></p>
,<p>O<sub>2</sub></p>
*,<p>N<sub>2</sub></p>
,<p>CO<sub>2</sub></p>
"<p class=""mathy"">P/T=K</p><span style=""background-color: initial; font-size: 1rem;"">সম্পর্কটি কোন গ্যাস সূত্র কে প্রকাশ করে?</span>",1,one,
,<p>বয়েলের সূত্র</p>
,<p>চার্লস সূত্র</p>
*,<p>চাপীয় সূত্র</p>
,<p>অ্যাভোগাড্র তত্ত্ব</p>
<p>4.0g CH<sub>4</sub> এবং 24g O<sub>2</sub> গ্যাসের মিশ্রণে CH<sub>4 </sub>এর মোল ভগ্নাংশ কত?</p>,1,"one, shuffle",
*,<p>0.25</p>
,<p>0.5</p>
,<p>0.75</p>
,<p>0.33</p>
<p>নিচের কোন গ্যাসের সংকোচনশীলতা ফ্যাক্টর Z&gt;1হয়?</p>,1,"one, shuffle",
,<p>H<sub>2</sub></p>
,<p>CO<sub>2</sub></p>
,<p>NH<sub>3</sub></p>
*,<p>Cl<sub>2</sub></p>
<p>SATP তে গ্যাসের মোলার আয়তন কত?</p>,1,"one, shuffle",
,<p>22.4 L</p>
,<p>22.8 L</p>
*,<p>24.4 L</p>
,<p>24.8 L</p>
<p>STP তে গ্যাসের মোলার আয়তন কত?</p>,1,"one, shuffle",
*,<p>22.4 L</p>
,<p>2240 cc</p>
,<p>24.8 dm<sup>3</sup></p>
,<p>24800 ml</p>
END
"<ul style=""list-style-type: circle;""><li style=""text-align: center;"">                                                                <strong>•</strong><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ - ১১</span></strong>                                                         •<strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ-৮<br/></span></strong></li></ul>"
POOL,30
"<p>আমরা জানি, PV = nRT</p><ol style=""list-style-type: lower-roman;""><li>অতি নিন্মচাপে ও উচ্চ তাপমাত্রায় N<sub>2, </sub>O<sub>2</sub>, CO<sub>2</sub>  প্রভৃতি গ্যাস এ সমীকরণটি অনুসরণ করে। </li><li>উচ্চ গতিশক্তির গ্যাস অণু এ সমিকরণটি মেনে চলতে পারেনা।</li><li>এ সমীকরণটি থেকে বয়েলের সুত্র পাওয়া যায়।</li></ol><p>নিচের কোনটি সঠিক ?</p><p><br/></p>",1,one,
,<p>i ও ii</p>
*,<p>i ও iii</p>
,<p>ii ও iii</p>
,"<p>i, ii, iii</p>"
<p>1.0 মোল গ্যাসের তাপমাত্রা 1.0K বৃদ্ধি করলে যে সম্প্রসারঞ্জনিত কাজ সম্পন্ন হয় তার নাম</p>,1,one,
,<p>গ্যাসের তাপ প্রসারাঙ্ক </p>
*,<p>আদর্শ গ্যাস ধ্রুবক (R)</p>
,<p>সংকোচনশীল ধ্রুবক (Z)</p>
,<p>আয়তনজনিত ভ্যান্ডারওয়াল ধ্রুবক (a)</p>
"<p>আদর্শ গ্যাসের জন্য নিচের কোন লেখচিত্রটি সঠিক?</p><p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/50b94f5b-05a8-47a7-b22a-c0aeb784688c-image.png""/></p><p>নিচের কোনটি সঠিক ?</p>",1,"one, shuffle",
,<p>i ও ii</p>
*,<p>i ও iii</p>
,<p>ii ও iii</p>
,"<p>i, ii ও iii</p>"
<p>6 মোল O<sub>2</sub> এবং 14 মোল N<sub>2</sub> গ্যাস মিশ্রণের চাপ 200 mm হলে অক্সিজেনের আংশিক চাপ কত? </p>,1,one,
*,<p>60 mm </p>
,<p>65 mm </p>
,<p>50 mm </p>
,<p>55 mm </p>
পদার্থের ভৌত অবস্থা কখন গ্যাসীয় হয়?,1,one,
,<p>আন্তঃকণা আকর্ষণ &gt;&gt; গতিশক্তি</p>
*,<p>আন্তঃকণা আকর্ষণ &lt;&lt; গতিশক্তি</p>
,<p>আন্তঃকণা আকর্ষণ ≈ গতিশক্তি</p>
,<p>পদার্থের অবস্থার সঙ্গে এদের সম্পর্ক নেই</p>
"তিনটি গ্যাস A, B এবং C এর সন্ধিপমাত্রা যথাক্রমে 31°C, -57°C, এবং -80°C। কক্ষ তাপমাত্রা 30°C হলে কোন গ্যাসটি সবচেয়ে সহজে তরল হয়?",1,one,
*,<p>A</p>
,<p>B</p>
,<p>C</p>
,<p>কোনোটিই নয়</p>
"<p>1.0 L আয়তনের একটি পাত্রে 0.25 g O<sub>2</sub> , 0.25g N<sub>2</sub> এবং 0.25g CO<sub>2</sub> গ্যাস মিশ্রিত আছে। মিশ্রণে কোন গ্যাসটির আংশিক চাপ সর্বাধিক? </p>",1,one,
,<p>O<sub>2</sub></p>
*,<p>N<sub>2</sub></p>
,<p>CO<sub>2</sub></p>
,<p>O<sub>2</sub> এবং N<sub>2</sub></p>
"<p>NTP তে 22.4 L O<sub>2</sub> এ থাকে</p><ol style=""list-style-type: lower-roman;""><li>32g</li><li>1.0 mol</li><li>1.0 অণু</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
*,<p>i ও ii</p>
,<p>i ও iii</p>
,<p>ii ও iii</p>
,"<p>i, ii ও iii</p>"
<p>একটি আদর্শ গ্যাস গ্যাসসূত্র তথা বয়েল ও চার্লস সূত্র অনুসরণ করে</p><p>একটি আদর্শ গ্যাসের জন্য কোনটি সঠিক?</p>,1,one,
,<p>গ্যাস অণু সমূহের গতিশক্তি থাকে নূন্যতম</p>
*,"<p>V ∝</p><p class=""mathy"">1/p (যখন তাপমাত্রা স্থির)</p>"
,"<p>V ∝</p><p class=""mathy"">1/T (যখন চাপ স্থির)</p>"
,<p>1.0 মোল গ্যাসের আয়তন 22.4 L</p>
"<p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/5d14c7d9-65e7-474b-bfc4-7fccb748efe5-image.png"" style=""width: 351px;""/></p><p>চিত্রে P বনাম PV বক্ররেখাটি কোন ক্ষেত্রে প্রযোজ্য নয়?</p>",1,one,
,<p>CO<sub>2</sub> গ্যাসের ক্ষেত্রে</p>
,<p>N<sub>2</sub> গ্যাসের ক্ষেত্রে </p>
*,<p>আদর্শ গ্যাসের ক্ষেত্রে </p>
,<p>যে কোনো বাস্তব গ্যাসের ক্ষেত্রে </p>
"<p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/338e9e8b-831f-47c6-bb89-dded64a9b0e4-image.png"" style=""width: 295px;""/></p><p>চিত্রে 'x' বিন্দুতে তাপমাত্রা কত?</p>",1,one,
,<p>-300°C</p>
*,<p>-273°C</p>
,<p>-100°C</p>
,<p>0°C</p>
"<p>আদর্শ গ্যাসের ক্ষেত্রে কোনটি সঠিক?</p><ol style=""list-style-type: lower-roman;""><li>গ্যাস অণু সমূহের মধ্যে আকর্ষণ বল </li><li>NTP তে 1.0 মোল গ্যাসের আয়তন 22.4</li><li>পাত্রের আয়তনের তুলনায় গ্যাস অণু সমূহের মোট আয়তন অতি নগণ্য</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
*,"<p>i, ii ও iii</p>"
কোন গ্যাসদ্বয়ের ব্যাপন হার সমান?,1,one,
*,"<p>N<sub>2</sub> , CO </p>"
,"<p>C<sub>2</sub>H<sub>4</sub> , O<sub>2</sub></p>"
,"<p>N<sub>2</sub> , O<sub>2</sub></p>"
,"<p>CO ,O<sub>2</sub></p>"
<p>1.0 মোল আদর্শ গ্যাসের গতিশক্তি কত?</p>,1,one,
,"<p class=""mathy"">(3RT)/(2N_A)</p>"
,"<p class=""mathy"">3/2(nRT)</p>"
,"<p class=""mathy"">3/2R</p>"
*,"<p class=""mathy"">3/2RT</p>"
"<p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/53df1a39-fec9-424b-a6d4-8c03704f8c7d-image.png""/></p><p>নিচের কোনটি সঠিক?</p>",1,one,
,<p>i ও ii</p>
,<p>i ও iii</p>
*,<p>ii ও iii</p>
,"<p>i, ii ও iii</p>"
<p>STP তে 3.2 g একটি গ্যাস 2.24 L আয়তন দখল করলে গ্যাসটি হতে পারে কোনটি?</p>,1,one,
,<p>CO </p>
,<p>CO<sub>2</sub></p>
,<p>N<sub>2</sub></p>
*,<p>O<sub>2</sub></p>
<p>STP তে O<sub>2</sub> গ্যাসের RMS বেগ কত?</p>,1,one,
,<p>46.134 ms<sup>-1</sup></p>
*,<p>461.34 ms<sup>-1</sup></p>
,<p> 561.34 ms<sup>-1</sup></p>
,<p>600.5 ms<sup>-1</sup></p>
<p>তত্ত্বীয় ভাবে কোন তাপমাত্রায় গ্যাসের আয়তন শূন্য হয়?</p>,1,one,
,<p>-270°C</p>
*,<p>-273°C</p>
,<p>-100°C</p>
,<p>-100K</p>
<p>CGS এককে R এর মান কত?</p>,1,one,
,<p>8.316 erg k<sup>-1</sup> mol<sup>-1</sup></p>
*,<p>8.316 × 10<sup>7 </sup>erg mol<sup>-1</sup>K<sup>-1</sup></p>
,<p>8.316 J mol<sup>-1 </sup>k<sup>-1</sup></p>
,<p>8.316 erg K<sup>-1 </sup>mol<sup>-1</sup></p>
"<p>নির্দিষ্ট চাপে নির্দিষ্ট ভরের কোন গ্যাসের আয়তন তত্ত্বীয় ভাবে শূন্য হয়?</p><ol style=""list-style-type: lower-roman;""><li>0K তাপমাত্রায়</li><li>-273°C তাপমাত্রায়   </li><li>0°C তাপমাত্রায়</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
*,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
,"<p>i, ii ও iii</p>"
<p>20g H<sub>2</sub> গ্যাসের জন্য VW সমীকরণ কোনটি?</p>,1,one,
*,"<p class=""mathy"">(P+a/V^2)(V-b)=RT</p>"
,"<p class=""mathy"">(P+(2a^2)/V^2)(V-2b)= 3RT</p>"
,"<p class=""mathy"">(P+(4a)/V^2)(V-2b) = 2RT</p>"
,"<p class=""mathy"">(P+(2a)/V^2)(V+2b)= 2RT</p>"
<p>CNG স্টেশনে ব্যাবহৃত প্রাকৃতিক গ্যাসে মিথেনের পরিমাণ কত?</p>,1,one,
,<p>79%</p>
,<p>88%</p>
,<p>90%</p>
*,<p>96%</p>
<p>SI এককে R এর মান কোনটি?</p>,1,one,
,<p>0.082 L atm mol<sup>-1</sup> K<sup>-1</sup></p>
*,<p>8.314J mol<sup>-1 </sup>K<sup>-1</sup></p>
,<p>8.32 × 10<sup>7</sup> erg mol<sup>-1</sup> K<sup>-1</sup></p>
,<p>1.987 Cal mol<sup>-1</sup> K<sup>-1</sup></p>
<p>Kon গ্যাসদ্বয়ের ব্যাপন এর হার সমান?</p>,1,one,
*,"<p>N<sub>2</sub>, CO</p>"
,<p>C<sub>2</sub>H<sub>4</sub> ও O<sub>2</sub></p>
,"N<sub>2</sub> , O<sub>2</sub>​​​​"
,"<p>CO, O<sub>2</sub></p>"
<p>4.0 g H<sub>2</sub> গ্যাসের জন্য আদর্শ সমীকরণ কোনটি?</p>,1,one,
,<p>PV = nRT</p>
,<p>PV = RT</p>
*,<p>PV = 2RT</p>
,<p>PV = 4RT</p>
<p>27°C তাপমাত্রায় O<sub>2</sub> গ্যাসের RMS বেগ কত? </p>,1,one,
,<p>453.23 ms<sup>-1</sup></p>
,<p>463.34 ms<sup>-1</sup></p>
,<p>473.45 ms <sup>-1</sup></p>
*,<p>483.56 ms<sup>-1</sup></p>
<p>28 g N<sub>2</sub> গ্যাসের জন্য VW সমীকরণ কোনটি?</p>,1,one,
,"<p class=""mathy"">(P+(2a)/V^2)(V-2b) = 2RT </p>"
,"<p class=""mathy"">(P+(n^2a)/V^2)(V-nb)= nRT </p>"
*,"<p class=""mathy"">(P+a/V^2)(V-b)= RT </p>"
,"<p class=""mathy"">(P+a^2/V^2)(V-b)=nRT</p>"
<p>1.0 mol গ্যাসের গতিশক্তি কোনটি?</p>,1,one,
,"<p class=""mathy"">(3RT)/(2N_A)</p>"
,"<p class=""mathy"">(3nRT)/2</p>"
,"<p class=""mathy"">(3R)/2</p>"
*,"<p class=""mathy"">(3RT)/2</p>"
